pl_name,hostname,pl_rade,pl_bmasse,pl_dens,pl_eqt,pl_insol,pl_orbsmax,pl_orbper,pl_orbeccen,st_teff,st_rad,st_mass,st_lum,st_logg,KMeans_Cluster,HZ_Status,ESI
K2-117 c,K2-117,2.06,4.9,3.08,597.9271024112339,21.4,0.0492,5.444017,0.15,3778.0,0.51,0.54,-1.35655,4.75,0,Outside HZ,0.6851808653907535
Kepler-1194 b,Kepler-1194,1.51,2.89,4.61,736.8287875000265,49.35,0.1212,16.22371307,0.0,5590.0,0.92,0.94,-0.127,4.49,0,Outside HZ,0.697971315180621
HD 135344 A b,HD 135344 A,16.25302201,3178.28407,4.07,138.15838715029915,0.061,16.5,,0.5,9540.0,1.5,2.32,1.22,4.41545,1,Outside HZ,0.4385776205764465
Kepler-1901 b,Kepler-1901,1.47418907,2.77,4.75,1234.9420278846992,389.41,0.0453,3.484129906,0.0,5696.0,0.921,1.022,-0.00315,4.519,3,Outside HZ,0.5781991469830955
Kepler-1524 b,Kepler-1524,3.54,12.3,1.52,438.0,8.443,0.3392,70.9674603,0.0,6179.0,1.25,1.17,-0.00637,4.31,0,Outside HZ,0.6281757757084105
Kepler-364 b,Kepler-364,1.55,3.02,4.46,753.0,68.71,0.178,25.745718,0.0,6108.0,1.284,1.076,0.35128,4.273,0,Outside HZ,0.6878122790114454
Kepler-444 f,Kepler-444,0.741,0.332,4.48,773.4436653092413,59.915,0.0811,9.740486,0.29,5046.0,0.752,0.758,-0.42455,4.5625,0,Outside HZ,0.6844213356085764
Kepler-833 b,Kepler-833,2.02,4.74,3.16,472.04591213520047,8.313,0.1139,18.7546998,0.0,4339.0,0.62,0.64,-0.79309,4.67,0,Outside HZ,0.7432580892635454
Kepler-620 b,Kepler-620,3.32,11.0,1.65,1069.500780759339,219.051,0.1053,12.91375431,0.0,6155.0,1.22,1.15,0.34079,4.33,3,Outside HZ,0.4727956372490403
TOI-2989 b,TOI-2989,12.55405838,953.485221,2.7,927.684322403861,124.0,0.0384,3.122832,0.0,4672.0,0.76,0.77,-0.73755,4.58,2,Outside HZ,0.3898237333014306
HD 177830 b,HD 177830,13.5,537.1327,1.2,399.64,3.7258,1.14,410.10001,0.1,4901.0,3.26,1.7,0.68502,3.64,1,Outside HZ,0.46354707375643184
Kepler-147 b,Kepler-147,1.53,2.96,4.54,1076.2225012773797,224.61,0.113,12.610584,0.0,6012.0,1.468,1.145,0.42733,4.182,3,Outside HZ,0.6043971568786797
K2-107 b,K2-107,15.98,266.9772,0.35,1649.0,1291.4267,0.0475,3.313959,0.0,6061.0,1.81,1.3,0.46446,4.04,2,Outside HZ,0.22375357709530355
DMPP-1 d,DMPP-1,2.02,4.72,3.15,1580.969540456784,1045.9594,0.04467,3.1417,0.36,6196.0,1.26,1.21,0.31955,4.41,3,Outside HZ,0.47757025924416274
K2-224 c,K2-224,2.41,6.39,2.51,764.0,73.1328,0.0886,10.09489,,5620.0,0.84,0.91,-0.24102,4.55,0,Outside HZ,0.5989354362978399
Kepler-150 b,Kepler-150,1.25,2.1,5.91,1216.99500198048,367.262,0.044,3.428054,0.0,5560.0,0.939,0.956,-0.16141,4.466,3,Outside HZ,0.5970416473062385
Kepler-62 d,Kepler-62,1.95,14.0,,566.2262686479413,17.21,0.12,18.16406,0.0,4925.0,0.64,0.69,-0.678,4.68,0,Outside HZ,0.6570354686902562
TOI-3912 b,TOI-3912,14.28024141,129.03833324,0.243,1512.0,872.2,0.0463,3.4936264,0.0,5725.0,1.392,1.088,0.27323,4.188,2,Outside HZ,0.22485003481285668
Kepler-292 f,Kepler-292,2.35,6.12,2.59,617.3877500662315,24.325,0.141,20.834237,0.0,5299.0,0.826,0.865,-0.33691,4.536,0,Outside HZ,0.6499695307063349
Kepler-316 c,Kepler-316,1.16,1.65,5.81,687.3784398797835,37.377,0.058,6.827766,0.0,4204.0,0.52,0.587,-0.93554,4.743,0,Outside HZ,0.7493437720085177
Kepler-491 b,Kepler-491,8.92,59.0,0.457,1168.8591080581314,312.514,0.05191,4.225384512,0.0,5582.0,1.03,1.04,-0.05683,4.42,2,Outside HZ,0.3075876388122853
XO-6 b,XO-6,23.20263,1398.452,0.62,1364.5015328775776,580.386,0.0815,3.7650007,0.0,6720.0,1.93,1.47,0.53614,4.04,2,Outside HZ,0.24091410861067294
K2-261 b,K2-261,9.26982704,68.96876432,0.473,1036.0,180.0,0.1086,11.6334681,0.274,5490.0,1.663,1.107,0.35392,4.04,2,Outside HZ,0.321285594526196
HD 164922 d,HD 164922,1.83,4.0,3.59,787.68,66.9243,0.103,12.458,0.12,5390.0,0.946,0.926,-0.14874,4.46,0,Outside HZ,0.6455555064354374
TIC 290487717 b,TIC 290487717,6.63777941,35.7,0.671,,,,3.400818229,,5328.97,0.943767,0.92,-0.1841,4.4622,0,Unknown,
TYC 2187-512-1 b,TYC 2187-512-1,12.5,104.88337431,0.295,114.69,0.0279,1.22,691.9,0.05,3734.0,0.495,0.498,-1.38091,4.68,1,Conservative HZ,0.31776651060011873
Kepler-700 b,Kepler-700,5.99,30.0,0.767,518.1799543349746,12.071,0.3577,80.8720639,0.0,5692.0,0.96,0.98,0.22961,4.47,0,Outside HZ,0.48612130135020654
Kepler-1133 b,Kepler-1133,1.97,4.54,3.26,759.6640819537556,55.758,0.0983,11.55562343,0.0,5569.0,0.9,0.93,-0.20972,4.5,0,Outside HZ,0.6395992394138831
HATS-34 b,HATS-34,16.02887,299.07803,0.4,1445.0,691.8428,0.03166,2.1061607,0.108,5380.0,0.98,0.955,-0.14026,4.435,2,Outside HZ,0.24156980466533798
CoRoT-10 b,CoRoT-10,10.87,874.0,3.7,600.0,16.1089,0.1055,13.2406,0.53,5075.0,0.79,0.89,-0.72608,4.65,1,Outside HZ,0.48256134275298346
Kepler-824 b,Kepler-824,1.87,4.16,3.5,1283.6691648446358,454.604,0.055,4.51436633,0.0,6035.0,1.22,1.15,0.12216,4.32,3,Outside HZ,0.5325531822768989
Kepler-1236 b,Kepler-1236,2.14,5.22,2.93,533.5778079649352,13.571,0.1803,31.0571618,0.0,5337.0,0.82,0.86,-0.37915,4.55,0,Outside HZ,0.7026459314154154
GJ 328 b,GJ 328,13.3,797.74930157,1.86,73.57,0.0049,4.11,3771.0,0.227,3897.0,0.63,0.65,-1.08,4.64,1,Conservative HZ,0.34335006427355097
HR 5183 b,HR 5183,13.1,1052.01202717,2.57,82.3507345270953,0.0077,18.0,27000.0,0.84,5794.0,1.53,1.07,0.39748,4.02,1,Outside HZ,0.37170273462265335
Kepler-104 b,Kepler-104,3.1,19.6,4.064848,919.9324323693435,119.907,0.094,11.427548,0.0,5711.0,1.349,0.818,0.08926,4.105,0,Outside HZ,0.5617859085169388
